"Table 1.  Filing Season Statistics, Weekly Data, 2009–2023",,,,,,,,,,,,,,
Year [1],Month,Day,Individual income tax returns,,E-filing receipts,,,Web usage,Total refunds,,,Direct deposit refunds,,
,,,"Total returns
received",Processed,Total e-file,"Tax 
Pro",Self-prepared,"Visits to
IRS.gov",Number,"Amount
(in billions of dollars)","Average
refund",Number,"Amount
(in billions of dollars)","Average
refund"
2013,2,8,"26,589,000","18,811,000","25,121,000","13,456,000","11,665,000","90,706,865","16,424,000",$52.06,"$3,170","15,457,000",$50.21,"$3,249"
2012,12,28,"148,203,000","147,697,000","119,560,000","76,322,000","43,238,000","373,854,200","110,471,000",$309.65,"$2,803","82,809,000",$247.13,"$2,984"
2012,11,23,"147,874,000","147,284,000","119,560,000","76,322,000","43,238,000","353,974,215","110,224,000",$307.98,"$2,794","82,735,000",$246.66,"$2,981"
2012,6,8,"137,200,000","135,097,000","113,074,000","71,017,000","42,056,000","270,997,037","104,486,000",$282.81,"$2,707","80,152,000",$234.57,"$2,927"
2012,5,11,"135,473,000","130,261,000","112,089,000","70,344,000","41,745,000","255,269,615","102,522,000",$277.18,"$2,704","79,308,000",$231.66,"$2,921"
2012,5,4,"134,623,000","128,532,000","111,769,000","70,130,000","41,639,000","250,654,312","101,171,000",$273.93,"$2,708","78,794,000",$230.16,"$2,921"
2012,4,27,"133,530,000","126,306,000","111,395,000","69,894,000","41,501,000","245,261,101","99,104,000",$269.14,"$2,716","78,007,000",$227.99,"$2,923"
2012,4,20,"130,873,000","123,332,000","110,883,000","69,606,000","41,277,000","238,757,166","95,033,000",$257.27,"$2,707","75,726,000",$220.36,"$2,910"
2012,4,13,"110,862,000","105,668,000","95,943,000","60,631,000","35,312,000","223,158,096","86,078,000",$237.75,"$2,762","69,667,000",$206.09,"$2,958"
2012,4,6,"99,979,000","96,556,000","87,293,000","54,664,000","32,630,000","209,805,368","80,421,000",$224.71,"$2,794","65,907,000",$196.63,"$2,983"
2012,3,30,"91,900,000","89,049,000","80,792,000","50,042,000","30,751,000","189,543,899","75,292,000",$212.79,"$2,826","62,493,000",$187.88,"$3,006"
2012,3,23,"84,918,000","81,984,000","75,091,000","45,945,000","29,146,000","179,683,890","70,247,000",$200.91,"$2,860","59,082,000",$179.04,"$3,030"
2012,3,16,"78,348,000","75,284,000","69,675,000","42,111,000","27,564,000","167,038,289","65,073,000",$188.62,"$2,899","55,557,000",$169.75,"$3,055"
2012,3,9,"71,567,000","68,074,000","64,068,000","38,189,000","25,879,000","167,038,289","59,239,000",$174.40,"$2,944","51,392,000",$158.62,"$3,086"
2012,3,2,"64,265,000","59,561,000","57,981,000","34,026,000","23,955,000","139,202,456","52,399,000",$157.59,"$3,007","46,265,000",$144.97,"$3,133"
2011,12,30,"145,320,000","145,062,000","112,203,000","72,426,000","39,777,000","322,540,490","109,337,000",$318.53,"$2,913","79,146,000",$246.08,"$3,109"
2011,6,10,"134,276,000","133,456,000","106,432,000","68,097,000","38,335,000","226,296,316","103,144,000",$289.34,"$2,805","76,434,000",$232.91,"$3,047"
2011,6,3,"133,808,000","132,530,000","106,233,000","67,962,000","38,272,000","223,723,476","102,728,000",$288.15,"$2,805","76,276,000",$232.31,"$3,046"
2011,5,13,"132,433,000","128,697,000","105,553,000","67,470,000","38,083,000","213,755,988","101,097,000",$284.08,"$2,810","75,701,000",$230.33,"$3,043"
2011,5,6,"131,828,000","126,507,000","105,277,000","67,303,000","37,974,000","209,783,439","100,252,000",$281.84,"$2,811","75,374,000",$229.23,"$3,041"
2011,4,29,"130,692,000","123,800,000","104,936,000","67,082,000","37,854,000","204,221,980","98,213,000",$277.15,"$2,822","74,653,000",$227.21,"$3,044"
2011,4,22,"128,559,000","120,279,000","104,516,000","66,842,000","37,673,000","198,745,670","95,745,000",$271.33,"$2,834","73,759,000",$224.63,"$3,045"
2011,4,15,"111,563,000","107,401,000","93,578,000","60,399,000","33,179,000","184,409,608","88,157,000",$252.60,"$2,865","69,030,000",$212.19,"$3,074"
2011,4,8,"97,029,000","96,153,000","83,656,000","53,652,000","30,004,000","169,633,414","80,874,000",$234.16,"$2,895","64,343,000",$199.49,"$3,100"
2011,4,1,"89,719,000","87,595,000","76,901,000","48,867,000","28,034,000","158,852,544","75,227,000",$219.79,"$2,922","60,700,000",$189.39,"$3,120"
2011,3,25,"82,281,000","80,318,000","71,072,000","44,717,000","26,355,000","151,305,611","69,955,000",$206.48,"$2,952","57,251,000",$179.83,"$3,141"
2011,3,18,"74,361,000","73,342,000","64,628,000","40,078,000","24,550,000","138,980,918","64,672,000",$193.06,"$2,985","53,736,000",$170.01,"$3,164"
2011,3,11,"68,195,000","66,159,000","59,948,000","36,840,000","23,108,000","131,128,908","59,005,000",$178.36,"$3,023","49,896,000",$159.08,"$3,188"
2011,3,4,"60,536,000","58,282,000","53,863,000","32,680,000","21,182,000","119,793,481","52,564,000",$161.35,"$3,070","45,357,000",$145.97,"$3,218"
2011,2,25,"51,927,000","49,278,000","46,868,000","27,983,000","18,885,000","107,028,830","45,077,000",$141.05,"$3,129","39,821,000",$129.68,"$3,257"
2010,12,31,"142,449,000","142,196,000","98,740,000","63,893,000","34,848,000","307,466,046","109,376,000",$328.44,"$3,003","74,590,000",$238.05,"$3,191"
2010,10,15,"138,967,000","138,357,000","97,788,000","63,084,000","34,703,000","272,388,327","107,724,000",$315.86,"$2,932","73,078,000",$234.82,"$3,170"
2010,6,4,"132,050,000","129,054,000","94,604,000","60,607,000","33,998,000","213,744,014","101,820,000",$293.26,"$2,880","72,056,000",$226.06,"$3,137"
2010,5,14,"130,684,000","123,759,000","94,070,000","60,212,000","33,858,000","202,911,715","99,758,000",$287.77,"$2,885","71,463,000",$223.75,"$3,131"
2010,5,7,"129,981,000","120,897,000","93,752,000","59,990,000","33,762,000","198,557,847","98,709,000",$284.62,"$2,883","71,103,000",$222.51,"$3,129"
2010,4,30,"129,268,000","118,044,000","93,460,000","59,784,000","33,677,000","194,083,748","96,292,000",$277.98,"$2,887","70,332,000",$220.04,"$3,129"
2010,4,23,"128,046,000","114,065,000","93,114,000","59,539,000","33,576,000","188,929,114","93,289,000",$269.76,"$2,892","69,302,000",$216.68,"$3,127"
2010,4,9,"98,802,000","93,205,000","77,395,000","50,070,000","27,325,000","162,235,522","79,705,000",$234.31,"$2,940","61,428,000",$194.81,"$3,171"
2010,4,2,"89,970,000","85,221,000","71,628,000","45,981,000","25,647,000","152,055,000","74,115,000",$219.37,"$2,960","58,137,000",$185.24,"$3,186"
2010,3,26,"82,533,000","77,812,000","66,542,000","42,354,000","24,188,000","141,109,467","68,587,000",$204.26,"$2,978","54,738,000",$175.04,"$3,198"
2010,3,19,"75,561,000","70,948,000","61,650,000","38,898,000","22,752,000","130,831,659","63,255,000",$190.03,"$3,004","51,392,000",$165.16,"$3,214"
2010,3,12,"68,743,000","64,294,000","56,802,000","35,510,000","21,293,000","120,071,838","57,779,000",$175.42,"$3,036","47,893,000",$154.80,"$3,232"
2010,3,5,"61,287,000","57,211,000","51,600,000","31,880,000","19,720,000","109,663,929","51,980,000",$160.19,"$3,082","44,032,000",$143.60,"$3,261"
2010,2,26,"53,556,000","49,751,000","45,873,000","28,048,000","17,826,000","98,691,224","45,544,000",$143.42,"$3,149","39,569,000",$130.77,"$3,305"
2009,12,31,"144,360,000","144,132,000","95,478,000","63,285,000","32,193,000","290,132,363","111,721,000",$319.41,"$2,859","73,112,000",$220.99,"$3,023"
2009,10,16,"141,376,000","140,718,000","94,980,000","62,858,000","32,122,000","266,476,336","110,071,000",$303.07,"$2,753","72,717,000",$217.92,"$2,997"
2009,5,1,"131,560,000","120,965,000","90,935,000","59,617,000","31,318,000","195,382,106","99,896,000",$267.12,"$2,674","69,577,000",$204.96,"$2,946"
2009,4,24,"131,543,000","117,014,000","90,639,000","59,418,000","31,221,000","190,609,211","96,673,000",$257.40,"$2,663","68,647,000",$202.40,"$2,948"
2009,4,10,"101,892,000","97,425,000","77,003,000","51,169,000","25,834,000","167,850,189","83,642,000",$225.35,"$2,694","61,622,000",$182.77,"$2,966"
2009,4,3,"92,292,000","89,215,000","70,907,000","46,861,000","24,046,000","156,825,000","77,720,000",$210.24,"$2,705","58,294,000",$173.41,"$2,975"
"[1] Calendar Year 2021 includes more than 251,000 returns filed for individuals who did not 
have a filing obligation but filed to receive the Advance Child Tax Credit.",,,,,,,,,,,,,,
